log_id,xi_start,yi_start,xj_start,yj_start,typei,xi_end,yi_end,xj_end,yj_end,typej,direction,PET,ifirst,angle_start,angle_end,start,end
0,-0.00993057244789403,0.9999506906497226,0.9916732675984042,0.12877938628019547,AV,-0.001620035195234089,0.999998687742122,0.9997071463059827,0.024199620343065217,HV,L-R,1.7999999999999998,True,83.16992582287848,88.70614974187691,cross,cross
1,0.00266499459762469,0.9999964488955921,-0.9900345119650604,-0.1408249449426644,AV,-0.05972728165544738,0.9982147323226856,-0.11532401813519941,-0.9933279271424682,HV,R-L,3.3999999999999995,True,98.24827817974304,169.95352665156366,cross,opposite
2,0.0036328838487414174,0.9999934010556977,-0.9993717510075041,0.03544154748589795,AV,-0.018132891148660568,0.99983558561325,-0.8346618382803366,-0.5507627581077804,HV,R-L,4.3999999999999995,True,88.1770729211004,122.38036203526792,cross,cross
3,-0.02303487334406964,0.9997346621029115,0.017143990537772914,-0.999853030994276,AV,-0.011959002528090302,0.9999284885723244,0.999938343365946,-0.011104479572118598,HV,L-R,4.3999999999999995,True,179.66240865844335,91.32146959536128,opposite,cross
4,0.011115071852787064,0.9999382256808204,-0.9960922254139591,0.08831918517438041,AV,-0.0010331520382687051,0.9999994662982905,-0.9988058164820319,0.048856329801379945,Cyclist,R-L,4.5,True,85.56994141348954,87.1404284281142,cross,cross
5,-0.0014695316875834878,0.9999989202377266,-0.994674165147642,-0.10306941926605383,AV,-0.0063468853811282245,0.9999798583201358,-0.9880576149381246,0.15408487778748664,Pedestrian,R-L,2.0000000000000004,True,95.83175091626804,80.77262178023027,cross,cross
6,0.03877978449139332,0.9992477812408698,0.9998074569295506,-0.019622667200580687,AV,0.012494294815524049,0.9999219432521033,0.9997030329646038,-0.024368953226849104,HV,L-R,3.0999999999999996,True,88.90189290514503,90.68048741203278,cross,cross
7,0.003085995458500069,0.9999952383046781,0.9976300234706644,-0.0688065132812379,AV,0.0023122806156025506,0.999997326675604,0.9999522107474497,-0.009776309185374669,HV,L-R,1.9000000000000004,True,93.76862537761902,90.42766614023661,cross,cross
8,-0.004807572295596699,0.9999884435575356,-0.9989159909656139,-0.04654936082467434,AV,-0.014185540588795603,0.9998993801569255,-0.9997651826075127,0.021669786472572762,HV,L-R,4.1000000000000005,False,92.39259138264505,87.94551663368102,cross,cross
9,0.006500413077764509,0.9999788720917149,0.03938591608036585,-0.9992240737765031,AV,-0.002127320699755091,0.9999977372507601,0.9868341907247857,-0.16173521575883643,HV,L-R,2.5000000000000004,True,177.3703205338529,99.42951530500196,opposite,cross
